Most Common Surnames,,,,,,,
,,,,,,,
"Surnames occurring most often in Scotland's registers of Births, Marriages and Deaths",,,,,,,
,,,,,,,
Counting only:,,,,,,,
(a)  the surname of the CHILD for births,,,,,,,
"(b)  the surnames of BOTH PARTIES (e.g. both BRIDE and GROOM) for marriages, and ",,,,,,,
(c)  the surname of the DECEASED for deaths.,,,,,,,
,,,,,,,
"Note: the surnames from these registers may not be representative of the surnames of the population of Scotland as a whole, as ",,,,,,,
(a) they include the surnames of non-residents who were born / married / died here; ,,,,,,,
(b) they exclude the surnames of residents who were born / married / died elsewhere; and ,,,,,,,
"(c) some age-groups have very low birth, marriage and death rates; others account for most births, marriages and deaths. ",,,,,,,
,,,,,,,
Registration Year = 2019,,,,,,,
,,,,,,,
Position,Surname,Number,,,,,
623=,BROWNLIE,42,,,,,
623=,DALZIEL,42,,,,,
623=,DOLAN,42,,,,,
623=,EWEN,42,,,,,
623=,HYSLOP,42,,,,,
623=,JARVIE,42,,,,,
623=,MADDEN,42,,,,,
623=,MCCAIG,42,,,,,
623=,MCCUTCHEON,42,,,,,
623=,MCKELLAR,42,,,,,
623=,MCPHAIL,42,,,,,
623=,NEWTON,42,,,,,
623=,PURDIE,42,,,,,
623=,SULLIVAN,42,,,,,
638=,FORRESTER,41,,,,,
638=,HAMILL,41,,,,,
638=,LISTER,41,,,,,
638=,LYONS,41,,,,,
638=,MCAULAY,41,,,,,
638=,MCAULEY,41,,,,,
638=,MCCRACKEN,41,,,,,
638=,MCSHANE,41,,,,,
638=,PHILIP,41,,,,,
638=,SHANKS,41,,,,,
638=,SHORT,41,,,,,
638=,TELFER,41,,,,,
638=,THORNTON,41,,,,,
638=,WYLLIE,41,,,,,
652=,BOYCE,40,,,,,
652=,CANNON,40,,,,,
652=,CHAMBERS,40,,,,,
652=,DILLON,40,,,,,
652=,DOIG,40,,,,,
652=,ERSKINE,40,,,,,
652=,FINNIGAN,40,,,,,
652=,FLETT,40,,,,,
652=,HUTCHINSON,40,,,,,
652=,LAURIE,40,,,,,
652=,LIDDELL,40,,,,,
652=,LINTON,40,,,,,
652=,LYNN,40,,,,,
652=,MCALPINE,40,,,,,
652=,MCKNIGHT,40,,,,,
652=,MUTCH,40,,,,,
652=,NIXON,40,,,,,
652=,O'ROURKE,40,,,,,
652=,PAGE,40,,,,,
652=,PRENTICE,40,,,,,
652=,RILEY,40,,,,,
673=,BARTON,39,,,,,
673=,CROMBIE,39,,,,,
673=,DYER,39,,,,,
673=,FARMER,39,,,,,
673=,FERRIER,39,,,,,
673=,GEORGE,39,,,,,
673=,GLASS,39,,,,,
673=,GREER,39,,,,,
673=,HUDSON,39,,,,,
673=,LEASK,39,,,,,
673=,MCLEISH,39,,,,,
673=,MCWILLIAM,39,,,,,
673=,MULHOLLAND,39,,,,,
673=,NEWMAN,39,,,,,
673=,PAYNE,39,,,,,
673=,POWELL,39,,,,,
689=,BALFOUR,38,,,,,
689=,CHAN,38,,,,,
689=,CHEN,38,,,,,
689=,CUTHBERTSON,38,,,,,
689=,GOW,38,,,,,
689=,HADDOW,38,,,,,
689=,HASTIE,38,,,,,
689=,HEALY,38,,,,,
689=,KENNY,38,,,,,
689=,LORIMER,38,,,,,
689=,LYALL,38,,,,,
689=,MACPHEE,38,,,,,
689=,MCCLURE,38,,,,,
689=,MCCLYMONT,38,,,,,
689=,MCGARRY,38,,,,,
689=,NIVEN,38,,,,,
689=,PEACOCK,38,,,,,
689=,PERRY,38,,,,,
689=,PRESTON,38,,,,,
689=,SPENCER,38,,,,,
689=,VALENTINE,38,,,,,
689=,WISHART,38,,,,,
711=,BEGG,37,,,,,
711=,DUNSMORE,37,,,,,
711=,FAULDS,37,,,,,
711=,HASSAN,37,,,,,
711=,HEWITT,37,,,,,
711=,IRVING,37,,,,,
711=,LEONARD,37,,,,,
711=,MCBAIN,37,,,,,
711=,MCRAE,37,,,,,
711=,QUIGLEY,37,,,,,
711=,SWANSON,37,,,,,
711=,TOWNSLEY,37,,,,,
711=,WATTERS,37,,,,,
724=,ARMOUR,36,,,,,
724=,BIRD,36,,,,,
724=,BOLTON,36,,,,,
724=,BORLAND,36,,,,,
724=,BRUNTON,36,,,,,
724=,CANNING,36,,,,,
724=,CROSSAN,36,,,,,
724=,FREEMAN,36,,,,,
724=,LENNON,36,,,,,
724=,LENNOX,36,,,,,
724=,MCWILLIAMS,36,,,,,
724=,ROWAN,36,,,,,
724=,SHANNON,36,,,,,
724=,TRAYNOR,36,,,,,
724=,TULLOCH,36,,,,,
724=,WARREN,36,,,,,
724=,WISEMAN,36,,,,,
